company_id,company_key,company_name,company_name_variants,company_size,website,domain,industry,founded_in,founded_raw,description,company_type,annual_revenue,employee_total,company_email,linkedin_url,linkedin_description,state,ndis_direct_support,nursing_care_relevance,position_tier_best,people_count,support_coordinator_count,people_with_email_count,source_batch
6c530d5608cc0439,epicss.com.au,Epic Support Services,,,https://epicss.com.au/,epicss.com.au,,,,,,,,,,,VIC,Yes,No,A,2,2,0,Triple R VIC Campaign 3 Cold Export
560251563838e1fb,flexi.com,Flexi Support,,,https://www.flexi.com/,flexi.com,,,,,,,,,,,VIC,Yes,No,A,2,2,0,Triple R VIC Campaign 3 Cold Export
bf4eaa0394986190,futurewellbeing.com.au,Future Wellbeing,,2-10,https://futurewellbeing.com.au,futurewellbeing.com.au,Hospitals and Health Care,,,"At Future Wellbeing, we are dedicated to empowering individuals with disabilities to achieve their full potential. As a registered NDIS provider, we offer high-quality, person-centered supports across the Sydney metro area. Our services are tailored to meet the unique needs of each individual, ensuring a pathway toward greater independence and improved quality of life.

We specialize in Level 2 & 3 Support Coordination, assisting participants to navigate the NDIS system, access services, and achieve their goals. Our team is also highly experienced in delivering High-Intensity Core Supports, providing the necessary care and assistance to those with more complex needs across Sydney Metro.

With a strong commitment to compassion, professionalism, and positive outcomes, Future Wellbeing is here to support you in living your best life. We believe in a future where everyone has the opportunity to thrive.

Contact us to learn how we can assist you or your loved ones in navigating the NDIS journey and achieving your goals.",,,7,,https://www.linkedin.com/company/future-wellbeing/,,NSW,Unclear,Yes,A,2,2,1,Triple R NSW Campaign 3 Cold Export
27b85978a8cb51b7,inspirationalcare.com.au,Inspirational Care,Inspirational care,11-50,https://inspirationalcare.com.au,inspirationalcare.com.au,,,,,,,25,,https://www.linkedin.com/company/inspirational-care/,,NSW,Unclear,No,A,2,2,1,Triple R NSW Campaign 3 Cold Export
9eef19180bcb7339,libertydisabilityservices.com.au,Liberty Disability Services,,,https://libertydisabilityservices.com.au,libertydisabilityservices.com.au,,,,,,,,,,,VIC,Yes,Yes,A,2,2,0,Triple R VIC Campaign 3 Cold Export
0af4ad46cfa46d20,links2community.com.au,Links2Community,,2-10,https://links2community.com.au,links2community.com.au,Hospitals and Health Care,,2001-01-10T00:00:00.000Z,"Links2Community is a registered NDIS provider offering a range of innovative, specialised, and tailored support solutions. Our vision is to realise an all-inclusive, flexible, and accessible community, where no one is socially isolated, no matter their age, disability, language, or culture.

Our team and its wide network have a range of different skills, expertise, and decades of experience to help you navigate the complexities of the NDIS. We’re reaching out to help anyone whose disability prevents them from meeting their needs and goals – especially those who fall through the cracks of the system. 

But we’re not just an NDIS provider, we want to demystify the NDIS for everyone. Our consultancy services are also here to help you, or your organisation, develop disability programs, set up, and refine internal processes to deliver quality service to your NDIS participants. 

Contact us today to discuss your needs. Let’s work together to determine how Links2Community can best help you.",,,10,,https://www.linkedin.com/company/catholic-healthcare-ltd/,,NSW,Yes,Yes,A,2,2,2,Triple R NSW Campaign 3 Cold Export
16f76670a09b25de,mccall.org.au,McCall Gardens Community,,51-200,https://mccall.org.au,mccall.org.au,Individual and Family Services,,,"We provide inclusive and personalised support to people with a disability, empowering them to lead great lives! If you or someone you love has a disability, we can provide the support you need to help achieve a fuller life.

Our Services Include:
-Supported Independent Living
-Community Participation
-NDIS Support Coordination
-Short-Term Accommodation",,,67,,https://www.linkedin.com/company/mccall-services/,,NSW,Unclear,Yes,A,2,2,2,Triple R NSW Campaign 3 Cold Export
87f67b886e76523d,mindaustralia.org.au,Mind Australia,,,https://www.mindaustralia.org.au/,mindaustralia.org.au,,,,,,,,,,,VIC,Yes,Yes,A,2,2,0,Triple R VIC Campaign 3 Cold Export
00861d1d7d73c532,mindfulccc.com,Mindful Care Coordination and Consulting,,,https://mindfulccc.com/,mindfulccc.com,Business Consulting and Services,,2001-01-10T12:00:00.000Z,,,,,,,,VIC,Unclear,No,A,2,2,0,Triple R VIC Campaign 3 Cold Export
d5b23ec1c82695dc,mycoastsupport.com.au,My Coast Support,,2-10,https://mycoastsupport.com.au,mycoastsupport.com.au,Individual and Family Services,,2001-01-10T00:00:00.000Z,"My Coast Support is an NDIS registered provider. 
Offering support for participants to engage with their community and feel better supported within their home.",,,6,,https://www.linkedin.com/company/my-coast-support/,,NSW,Unclear,Yes,A,2,2,2,Triple R NSW Campaign 3 Cold Export
